#Name: waxd.dat
#ProfileType: 3
#ScatteringType:0
#Wavelength: 0.124
#PlotSize: 1374
#PixelSize: 0.172
#xUnit: pixel
#SampleDistance: 5454.6
#IntSartAngle:0
#IntTermAngle:6.283
#Integrated Intensity
#q(1/nm)	Intensity	sigma
#-------------------
0.0000	4.500	1.500
0.0016	7.000	1.080
0.0032	4.375	0.740
0.0048	5.583	0.682
0.0064	4.625	0.538
0.0080	3.438	0.464
0.0096	3.591	0.404
0.0112	4.875	0.451
0.0128	4.679	0.409
0.0144	4.750	0.385
0.0160	5.000	0.408
0.0176	5.025	0.354
0.0192	4.342	0.338
0.0208	4.848	0.325
0.0224	5.114	0.341
0.0240	4.479	0.305
0.0256	5.538	0.326
0.0272	5.867	0.313
0.0288	25.683	0.654
0.0304	2993.150	7.063
0.0320	9602.703	12.249
0.0336	13296.414	13.782
0.0352	15774.544	15.231
0.0367	17542.782	14.997
0.0383	14401.145	13.765
0.0399	11278.695	11.728
0.0415	8875.686	10.159
0.0431	7184.438	9.477
0.0447	6062.571	7.865
0.0463	5112.807	7.622
0.0479	4457.370	6.676
0.0495	3888.240	6.236
0.0511	3437.750	5.749
0.0527	3073.346	5.436
0.0543	2788.123	5.129
0.0559	2465.467	4.533
0.0575	2252.264	4.525
0.0591	2045.975	4.095
0.0607	1862.811	3.908
0.0623	1730.000	3.862
0.0639	1564.194	3.417
0.0655	1454.515	3.345
0.0671	1328.421	3.080
0.0687	1236.794	3.016
0.0703	1154.642	2.935
0.0719	1049.460	2.645
0.0735	989.843	2.659
0.0751	919.688	2.444
0.0767	856.750	2.374
0.0783	806.975	2.260
0.0799	754.256	2.145
0.0815	713.329	2.125
0.0831	665.211	2.002
0.0847	632.211	1.952
0.0863	594.621	1.849
0.0879	561.916	1.777
0.0895	531.385	1.748
0.0911	505.505	1.667
0.0927	476.352	1.618
0.0943	457.057	1.543
0.0959	433.153	1.510
0.0975	411.628	1.449
0.0991	393.005	1.416
0.1007	377.510	1.388
0.1023	362.803	1.321
0.1039	346.377	1.303
0.1055	330.336	1.242
0.1071	321.750	1.232
0.1087	308.411	1.200
0.1102	294.658	1.152
0.1118	282.593	1.144
0.1134	273.338	1.095
0.1150	264.296	1.072
0.1166	258.047	1.055
0.1182	248.954	1.023
0.1198	239.328	1.016
0.1214	233.537	0.974
0.1230	227.721	0.974
0.1246	221.371	0.945
0.1262	216.350	0.923
0.1278	209.426	0.926
0.1294	202.187	0.869
0.1310	198.112	0.890
0.1326	192.331	0.841
0.1342	188.550	0.852
0.1358	184.529	0.821
0.1374	180.130	0.817
0.1390	175.805	0.804
0.1406	171.836	0.775
0.1422	161.332	0.759
0.1438	154.210	0.734
0.1454	147.684	0.709
0.1470	142.617	0.711
0.1486	139.159	0.679
0.1502	135.262	0.683
0.1518	130.386	0.661
0.1534	126.671	0.639
0.1550	123.980	0.649
0.1566	120.554	0.603
0.1582	118.132	0.625
0.1598	118.038	0.607
0.1614	115.415	0.604
0.1630	110.012	0.581
0.1646	109.693	0.575
0.1662	107.581	0.580
0.1678	105.352	0.558
0.1694	102.940	0.557
0.1710	102.479	0.551
0.1726	100.675	0.543
0.1742	98.829	0.539
0.1758	97.218	0.518
0.1774	96.292	0.528
0.1790	95.795	0.526
0.1806	95.619	0.515
0.1821	91.600	0.504
0.1837	91.353	0.498
0.1853	89.223	0.495
0.1869	91.205	0.493
0.1885	88.962	0.493
0.1901	87.826	0.485
0.1917	86.061	0.478
0.1933	85.270	0.472
0.1949	85.560	0.464
0.1965	87.173	0.472
0.1981	89.753	0.481
0.1997	90.384	0.483
0.2013	91.160	0.481
0.2029	91.641	0.472
0.2045	91.673	0.479
0.2061	90.847	0.470
0.2077	93.535	0.481
0.2093	91.219	0.466
0.2109	91.548	0.470
0.2125	93.376	0.476
0.2141	92.143	0.458
0.2157	93.270	0.472
0.2173	92.307	0.460
0.2189	92.897	0.467
0.2205	92.948	0.467
0.2221	91.467	0.450
0.2237	92.482	0.458
0.2253	91.173	0.450
0.2269	92.828	0.458
0.2285	92.177	0.455
0.2301	91.446	0.445
0.2317	92.502	0.453
0.2333	90.678	0.438
0.2349	92.713	0.449
0.2365	91.170	0.438
0.2381	91.718	0.441
0.2397	92.401	0.451
0.2413	91.179	0.429
0.2429	92.825	0.445
0.2445	90.823	0.430
0.2461	91.873	0.437
0.2477	92.794	0.437
0.2493	90.284	0.427
0.2509	93.033	0.435
0.2525	91.335	0.426
0.2540	92.871	0.430
0.2556	92.213	0.429
0.2572	92.307	0.425
0.2588	92.167	0.430
0.2604	91.889	0.416
0.2620	93.259	0.426
0.2636	91.958	0.420
0.2652	93.048	0.423
0.2668	93.023	0.425
0.2684	91.129	0.410
0.2700	93.584	0.423
0.2716	93.016	0.412
0.2732	93.304	0.415
0.2748	92.785	0.413
0.2764	92.859	0.410
0.2780	93.522	0.417
0.2796	92.668	0.408
0.2812	93.253	0.413
0.2828	93.373	0.406
0.2844	93.502	0.406
0.2860	93.334	0.413
0.2876	93.266	0.402
0.2892	93.690	0.408
0.2908	94.346	0.402
0.2924	94.172	0.403
0.2940	94.208	0.407
0.2956	94.108	0.399
0.2972	94.208	0.404
0.2988	93.596	0.394
0.3004	94.902	0.403
0.3020	94.796	0.398
0.3036	94.417	0.396
0.3052	95.557	0.399
0.3068	94.772	0.394
0.3084	95.072	0.399
0.3100	96.248	0.393
0.3116	96.597	0.396
0.3132	96.324	0.398
0.3148	95.741	0.389
0.3164	96.284	0.397
0.3180	96.664	0.388
0.3196	95.932	0.394
0.3212	97.586	0.394
0.3228	95.694	0.384
0.3243	97.168	0.393
0.3259	96.232	0.382
0.3275	97.191	0.393
0.3291	97.520	0.386
0.3307	97.171	0.387
0.3323	97.208	0.387
0.3339	97.715	0.382
0.3355	97.623	0.385
0.3371	98.207	0.383
0.3387	97.964	0.384
0.3403	98.251	0.383
0.3419	99.061	0.380
0.3435	97.988	0.383
0.3451	98.734	0.379
0.3467	98.853	0.381
0.3483	99.307	0.384
0.3499	98.814	0.376
0.3515	98.733	0.378
0.3531	98.899	0.372
0.3547	99.690	0.381
0.3563	99.439	0.374
0.3579	100.077	0.378
0.3595	99.907	0.378
0.3611	99.969	0.373
0.3627	100.077	0.373
0.3643	100.401	0.371
0.3659	100.344	0.375
0.3675	100.908	0.373
0.3691	100.945	0.372
0.3707	100.854	0.373
0.3723	101.952	0.369
0.3739	101.501	0.374
0.3755	101.548	0.368
0.3771	101.215	0.370
0.3787	102.126	0.373
0.3803	101.171	0.364
0.3819	101.888	0.372
0.3835	101.416	0.362
0.3851	101.673	0.368
0.3867	102.796	0.369
0.3883	102.740	0.365
0.3899	102.158	0.367
0.3915	102.091	0.357
0.3931	102.801	0.367
0.3946	102.501	0.363
0.3962	102.952	0.362
0.3978	102.647	0.367
0.3994	102.510	0.357
0.4010	103.866	0.364
0.4026	103.633	0.359
0.4042	102.327	0.360
0.4058	103.409	0.360
0.4074	103.552	0.358
0.4090	103.671	0.361
0.4106	102.989	0.353
0.4122	103.220	0.357
0.4138	102.545	0.352
0.4154	96.160	0.345
0.4170	92.405	0.337
0.4186	90.318	0.328
0.4202	88.405	0.326
0.4218	87.204	0.323
0.4234	84.475	0.320
0.4250	83.455	0.319
0.4266	89.084	0.321
0.4282	91.366	0.331
0.4298	92.963	0.328
0.4314	93.474	0.332
0.4330	94.456	0.333
0.4346	95.391	0.335
0.4362	96.040	0.338
0.4378	95.994	0.330
0.4394	97.205	0.336
0.4410	97.430	0.334
0.4426	98.062	0.335
0.4442	99.401	0.340
0.4458	99.820	0.335
0.4474	99.906	0.338
0.4490	100.063	0.334
0.4506	100.029	0.335
0.4522	101.471	0.339
0.4538	100.041	0.333
0.4554	101.187	0.338
0.4570	100.662	0.333
0.4586	99.945	0.333
0.4602	99.891	0.331
0.4618	99.457	0.330
0.4633	99.466	0.335
0.4649	98.716	0.325
0.4665	98.623	0.326
0.4681	98.540	0.326
0.4697	98.246	0.327
0.4713	97.346	0.324
0.4729	98.464	0.323
0.4745	97.465	0.325
0.4761	98.534	0.323
0.4777	96.887	0.321
0.4793	97.589	0.321
0.4809	96.156	0.317
0.4825	94.005	0.316
0.4841	93.282	0.310
0.4857	92.407	0.314
0.4873	92.202	0.307
0.4889	91.271	0.309
0.4905	90.772	0.307
0.4921	90.106	0.303
0.4937	89.828	0.304
0.4953	89.335	0.302
0.4969	88.345	0.302
0.4985	87.782	0.298
0.5001	87.462	0.297
0.5017	86.486	0.297
0.5033	86.959	0.296
0.5049	86.580	0.295
0.5065	85.962	0.294
0.5081	85.669	0.291
0.5097	84.008	0.291
0.5113	84.581	0.288
0.5129	83.744	0.290
0.5145	83.538	0.286
0.5161	82.859	0.286
0.5177	82.341	0.285
0.5193	81.365	0.281
0.5209	81.398	0.282
0.5225	81.270	0.278
0.5241	81.764	0.283
0.5257	80.214	0.278
0.5273	80.111	0.278
0.5289	79.162	0.277
0.5304	79.263	0.273
0.5320	79.166	0.275
0.5336	78.332	0.272
0.5352	79.715	0.275
0.5368	80.276	0.278
0.5384	80.577	0.273
0.5400	81.323	0.279
0.5416	80.502	0.271
0.5432	81.907	0.279
0.5448	80.657	0.274
0.5464	81.546	0.273
0.5480	81.124	0.277
0.5496	81.359	0.270
0.5512	80.696	0.275
0.5528	81.109	0.272
0.5544	80.779	0.272
0.5560	80.382	0.274
0.5576	80.463	0.268
0.5592	80.304	0.271
0.5608	80.790	0.270
0.5624	80.031	0.268
